AUGUST DATASET,,,,,Human,Human,Human,Human,Human,Human,,
TESTING,Date,ID,Phase,Position N,Position 1,Position 2,Position 3,Position 4,Position 5,Position 6,Treatment,Extra things
OBJ,8092021,Rat 1,IOT,2,8.2,6.1,2,0.4,2.7,2.3,SW,
OBJ,8092021,Rat 3,DOT,5,3.6,4.9,5.7,1.4,5.5,4.5,SW,
OBJ,8102021,Rat 6,IOT,1,0.2,1.2,0.2,8.8,2.2,0.5,SW,
OBJ,8102021,Rat 8 ,DOT,6,4.6,3.5,0.7,4.6,1.6,1.5,SW,
OBJ,8112021,Rat 10,DOT,4,1.1,5.8,5.7,3.8,0.4,3.8,SW,
OBJ,8112021,Rat 12 ,IOT,3,2,10.2,11.2,3.8,1.3,4.1,SW,
OBJ,8122021,Rat 7,IOT,1,21.2,5.3,1.9,0.8,1.1,2.6,SW,
OBJ,8122021,Rat 9,DOT,6,7.9,7.6,5.1,1.3,3.5,1.3,SW,
OBJ,8132021,Rat 1,DOT,5,0.7,2.4,1.5,3.3,4.7,1.1,SW,
OBJ,8132021,Rat 3,IOT,2,4.2,5.4,8.4,3.8,3.5,9.9,SW,
OBJ,8142021,Rat 6 ,IOT,3,3.3,3.7,8.9,2.9,8.9,1.6,SW,
OBJ,8142021,Rat 12 ,DOT,6,1.5,1.4,3.8,3.2,8,4.2,SW,
OD,8092021,Rat 2 ,IOT,5,2.7,7.4,4,2.7,3.3,9.1,SW,
OD,8092021,Rat 4 ,DOT,3,0.2,1,0.6,0.4,0.8,2.3,SW,
OD,8102021,Rat 5 ,IOT,4,0.4,2.9,1.1,1,1.6,2.5,SW,
OD,8102021,Rat 7 ,DOT,2,3.3,1.8,0,0.5,1.8,2.8,SW,
OD,8112021,Rat 9 ,DOT,1,4.7,1.6,1,1.4,0.9,4,SW,
OD,8112021,Rat 11 ,IOT,1,1.5,4.4,1.9,1.8,1.2,0.9,SW,
OD,8122021,Rat 8 ,IOT,3,2.7,1.6,3,9.6,3.5,1.3,SW,
OD,8122021,Rat 10 ,DOT,1,5.2,2.1,3.5,1.9,6.4,5.2,SW,
OD,8132021,Rat 2 ,DOT,6,1.8,0.8,1.1,5.8,2.5,2.2,SW,
OD,8132021,Rat 4 ,IOT,3,0.1,0.3,0.6,0.4,1.4,0.8,SW,
OD,8142021,Rat 5 ,IOT,5,10.6,2.9,4.5,2.2,2.8,0.6,SW,
OD,8142021,Rat 11 ,DOT,2,7.4,2.1,1.6,14.9,5.7,1,SW,
OBJ,8092021,Rat 5 ,DOT,4,4.4,3.3,0.9,5,1.9,1.6,TI,
OBJ,8092021,Rat 7 ,IOT,,,,,,,,TI,knocked object
OBJ,8102021,Rat 1 ,DOT,2,2.1,4.1,0.4,3.2,2.6,0.8,TI,
OBJ,8102021,Rat 4 ,IOT,5,0.3,0.5,0.3,0,2.9,0.3,TI,
OBJ,8112021,Rat 2 ,IOT,2,7,1.8,1.7,0.7,0.2,1.5,TI,
OBJ,8112021,Rat 4 ,DOT,6,1.4,2.3,1,0,1.1,3.1,TI,
OBJ,8122021,Rat 5 ,DOT,5,3.7,4.5,1.5,4.1,7.6,7.7,TI,
OBJ,8122021,Rat 11 ,IOT,4,3.8,3.6,2.3,4.9,0.5,1.5,TI,
OBJ,8132021,Rat 9 ,DOT,4,0.7,3.1,2,1.7,1.7,0.5,TI,
OBJ,8132021,Rat 11 ,IOT,2,6.2,3.7,1.9,1,2.3,1.6,TI,
OBJ,8142021,Rat 8 ,DOT,2,3,4.5,3,0.8,6.6,6.3,TI,
OBJ,8142021,Rat 10 ,IOT,4,0,0.4,2.6,0,0.9,2.4,TI,knocked object
OD,8092021,Rat 6 ,DOT,1,2.5,0,1.9,6.4,4.9,0.5,TI,
OD,8092021,Rat 8 ,IOT,5,2.1,0.9,2.5,0.6,1.4,1.8,TI,
