JUNE DATASET,,,All numbers are reported in seconds of time spent with item,,,,,,,
TESTING,Date,ID,Position N,Position 1,Position 2,Position 3,Position 4,Position 5,Position 6,Treatment
,2022-06-11_NOD_DOT_7,,1,3.7,1.7,2.6,5.9,2.4,6.8,SW
,2022-06-11_NOD_IOT_8,,3,3,3.6,43.7,5.2,7.5,3.6,TI
,2022-06-11_NOD_DOT_9,,2,1.5,2.6,5.6,0.7,1.7,3.9,C
,2022-06-11_NOD_IOT_10,,4,1.7,2,3.1,2.2,12.2,5.8,SW
,2022-06-11_NOD_DOT_11,,1,7.4,3.9,1.9,11.1,4.3,10.8,TI
,2022-06-11_NOD_IOT_12,,6,3.4,4.3,3.8,1.2,9.3,6.1,C
,06-12_NOB_IOT_22,,3,3.2,4.6,14.4,3.4,3.7,3.3,SW
,06-12_NOB_IOT_20.mp4,,2,4.3,8.8,0.8,0.6,6,0.6,TI
,6-22_NOB_DOT_23,,3,2.7,3.5,9.7,7.8,1.4,3.7,TI
,06-12_NOB_IOT_24.mp4,,3,1.2,1.8,12,1.8,4.6,1.4,C
,06-12_NOB_DOT_19.mp4,,3,5.5,3.6,8.4,5.8,5.1,7.8,SW
,06-12_NOB_DOT_21.mp4,,3,4.3,2.4,3.2,1.5,1.9,1.2,C
,2022-06-14_NOD_DOT_8,,2,5.3,6,8.4,3.9,7.2,9.8,SW
,2022-06-14_NOD_DOT_10,,3,4.3,1.6,5.7,2,6.8,1.6,C
,2022-06-14_NOD_DOT_12,,4,0,0,12.2,0,0.2,3.9,SW
,2022-06-14_NOD_IOT_7,,4,2.8,3.5,16.7,14.5,0.8,7,TI
,2022-06-14_NOD_IOT_9,,5,39.5,3.3,2.6,6.5,13.1,12.9,TI
,2022-06-14_NOD_IOT_11,,3,3.2,2.6,4.2,9.8,4,1.6,C
,2022-06-15_NOB_DOT_20.mp4,,2,3,1.5,4.5,0.8,2.1,0.6,SW
,2022-06-15_NOB_DOT_22.mp4,,1,4.8,2.9,23.4,42.9,4.1,5.5,TI
,2022-06-15_NOB_DOT_24.mp4,,4,7.1,5.5,5.5,2,3.2,2.4,SW
,06-15_NOB_IOT_19,,2,0.5,13.1,8.7,0.7,3.4,7.8,TI
,2022-06-15_NOB_IOT_21.mp4,,4,0.7,2.7,0.1,11.2,3,3.2,TI
,2022-06-15_NOB_IOT_23.mp4,,6,6.7,2.9,3.1,0.9,2.5,3.1,C
,2022-06-17_NOD_DOT_7-upsidedown,,6,5.9,11,9.3,1.4,1.4,5.6,C
,2022-06-17_NOD_DOT_9,,2,1.4,5.3,6.5,5.9,3.4,6.6,SW
,2022-06-17_NOD_DOT_11,,1,13.6,4.5,4.2,9.6,19,8.3,SW
,2022-06-17_NOD_IOT_8-upsidedown,,3,4.9,16.4,7.3,4.1,1.6,4.2,AC
,2022-06-17_NOD_IOT_10,,5,12.7,1.2,3.6,2,4.5,3.9,TI
,2022-06-17_NOD_IOT_12,,6,0.4,1.7,1.4,1.6,3.7,2,TI
,2022-06-18_NOD_DOT_13-upsidedown,,3,2.1,4.2,7.5,3.4,3.8,6.5,AC
,2022-06-18_NOD_DOT_15-upsidedown,,6,2.2,2.8,3.3,4.3,7.1,3.6,SW
,2022-06-18_NOD_DOT_17-upsidedown,,4,5.5,4.8,2.3,12,6.3,3.3,SW
,2022-06-18_NOD_IOT_14-upsidedown,,5,3.9,1.5,1.5,2.7,8,4.5,AC
,2022-06-18_NOD_IOT_16-upsidedown,,5,3.9,5.3,8.4,6.4,14.6,7.1,AC
,2022-06-18_NOD_IOT_18-upsidedown,,3,1.5,4.6,2.6,4.7,3.6,10.3,TI
,2022-06-20_NOB_DOT_2.mp4,,5,1.5,3.5,2.8,1.7,9.5,2.3,TI
,2022-06-20_NOB_DOT_4.mp4,,5,7.5,4,2.3,4.8,3.6,5.5,SW
,2022-06-20_NOB_DOT_6.mp4,,4,1.3,1.7,0.6,1.5,4.5,0.8,AC
,2022-06-20_NOB_IOT_1.mp4,,5,0.2,2.2,3,1.9,4.7,4.8,SW
,2022-06-20_NOB_IOT_3.mp4,,4,0.5,1.4,0.9,0.7,1.3,1.5,AC
,2022-06-20_NOB_IOT_5.mp4,,4,0.5,1.1,0.8,10.4,2.3,3.1,TI
,2022-06-21_NOB_DOT_20.mp4,,5,0.6,0.3,0.8,1.5,2.3,0.1,TI
,2022-06-21_NOB_DOT_22.mp4,,2,1,2.1,2.3,5.6,6.6,4.3,SW
,2022-06-21_NOB_DOT_24.mp4,,6,0.9,0.8,1.4,4.8,2.2,8,AC
,2022-06-21_NOB_IOT_19.mp4,,4,1.5,1.7,1,6.2,1.9,1.5,SW
,2022-06-21_NOB_IOT_21.mp4,,6,0.4,1.1,1.7,0.7,7,3.7,AC
,2022-06-21_NOB_IOT_23.mp4,,5,1,1.3,1.6,1.1,0.8,1.2,TI
,2022-06-23_NOD_DOT_7,,2,2.7,14.3,9.7,11.4,5.6,18.2,TI
,2022-06-23_NOD_IOT_8,,5,20.9,6.7,2.8,6.1,9.3,2,SW
,2022-06-23_NOD_DOT_9,,3,1.2,3.6,24,3.1,2.7,4.9,TI
,2022-06-23_NOD_IOT_10,,1,4.8,2.6,3.6,1.6,4.9,1.3,AC
,2022-06-23_NOD_DOT_11,,1,8.6,5.1,3,4.8,5.4,4.8,AC
,2022-06-23_NOD_IOT_12,,1,4.9,1.9,11,2.8,2,4.9,SW
,2022-06-24_NOB_DOT_19.mp4,,3,1,3.1,6.7,1.6,0.4,0.7,TI
,2022-06-24_NOB_IOT_20.mp4,,3,1.3,6.5,6.7,3.5,0,1.2,AC
