MARCH DATASET,,,,F=(average of all familiar times),,,,
TESTING,Date,ID,Position N,F,N,Treatment,Extra things,
1,3142021,1 OBJ IOT,2,34.19317207,13.16136559,SW,,"There is a chance with this dataset that between rat pairs, the od and object numbers for F and N are switched around. Names and Position of N are correct."
,3142021,2 OD IOT,6,5.659146,17.7363416,SW,,
,3142021,3 DOT OD,4,31.40049919,7.439800323,SW,,
,3142021,4 DOT OBJ,4,6.949602122,17.22015915,SW,,
,3142021,5 DOT OBJ,1,51.84429758,9.631140484,TI,,
,3142021,6 DOT OD,6,5.624832932,18.87503341,TI,,
,3142021,7 IOT OBJ,5,24.7307014,15.05385972,TI,,
,3142021,8 IOT OD,3,41.94421431,11.61115714,TI,,
,3142021,9 DOT OBJ,3,21.88801705,15.62239659,C,,
,3142021,10 DOT OD,2,12.57670623,17.48465875,C,,
,3142021,11 IOT OBJ,4,30.18648019,13.96270396,C,,
,3142021,12 IOT OD,1,11.38732959,17.72253408,C,,
2,3152021,1 DOT OD,6,20.62094156,15.87581169,TI,,
,3152021,2 DOT OBJ,4,14.07453531,17.18509294,TI,,
,3152021,3 IOT OD,5,46.59609529,10.68078094,TI,,
,3152021,3 IOT OJB,1,13.78254628,17.24349074,TI,,
,3152021,5 IOT OD,3,30.65698311,13.86860338,SW,,
,3152021,6 IOT OBJ,3,47.83369827,10.43326035,SW,,
,3152021,7 IOT OD,2,13.42822465,17.31435507,SW,,
,3152021,8 IOT OBJ,4,14.60433604,17.07913279,SW,,
,3152021,9 IOT OD,5,4.166666667,19.16666667,C,,
,3152021,10 IOT OBJ,2,,,C,knocked over,
,3152021,11 IOT OD,6,46.40502329,10.71899534,C,,
,3152021,12 IOT OBJ,3,13.74129353,17.25174129,C,,
3,3162021,1 IOT OD,1,46.45573381,10.70885324,TI,,
,3162021,2 IOT OBJ,6,29.97756018,14.00448796,TI,,
,3162021,3 DOT OD,2,20.66584967,15.86683007,TI,,
,3162021,4 DOT OBJ,3,22.88451013,15.42309797,TI,,
,3162021,5 IOT OD,5,6.482953542,18.70340929,C,,
,3162021,6 IOT OBJ,5,2.592592593,19.48148148,C,,
,3162021,7 DOT OD,1,14.55820106,17.08835979,C,,
,3162021,8 DOT OBJ,3,29.42599554,14.11480089,C,,
,3162021,9 DOT OD,2,12.61633558,14.95346577,SW,,
,3162021,10 DOT OBJ,4,18.88049005,12.44780398,SW,,
,3162021,11 IOT OD,6,9.894736842,16.04210526,SW,,
,3162021,12 IOT OBJ,3,21.48432399,11.4062704,SW,,
4,3172021,1 DOT OBJ,3,11.51761518,17.69647696,C,,
,3172021,2 DOT OD,6,30.35694491,13.92861102,C,,
,3172021,3 IOT OBJ,2,20.83333333,15.83333333,C,,
,3172021,4 IOT OD,1,21.2962963,15.74074074,C,,
,3172021,5 DOT OBJ,1,16.17302053,13.53079179,SW,,
,3172021,6 DOT OD,3,16.94316436,13.22273425,SW,,
,3172021,7 IOT OBJ,3,11.32950374,15.4681985,SW,,
,3172021,8 IOT OD,5,13.67401154,14.53039538,SW,,
,3172021,9 DOT OBJ,4,9.457800512,18.1084399,TI,,
,3172021,10 DOT OD,4,51.51196827,9.697606346,TI,,
,3172021,11 IOT OBJ,3,37.05882353,12.58823529,TI,,
,3172021,12 IOT OD,5,39.93536519,12.01292696,TI,,
5,3182021,1 DOT OBJ,2,38.80758808,4.47696477,SW,,
,3182021,2 DOT OD,2,16.82041003,13.27183599,SW,,
,3182021,3 IOT OBJ,1,6.666666667,17.33333333,SW,,
,3182021,4 IOT OD,6,10.41666667,15.83333333,SW,,
,3182021,5 DOT OBJ,3,5.152979066,18.96940419,C,,
,3182021,6 DOT OD,4,24.13695529,15.17260894,C,,
,3182021,7 IOT OBJ,5,30,14,C,,
,3182021,8 IOT OD,1,32.31746032,13.53650794,C,,
,3182021,9 DOT OBJ,1,19.24731183,3.76344086,TI,chance these numbers are incorrect for this day of TI,
,3182021,10 DOT OD,6,10.53658537,47.31707317,TI,,
,3182021,11 IOT OD,4,11.02564103,44.87179487,TI,,
,3182021,12 IOT OBJ,2,11.36363636,43.18181818,TI,,
6,3192021,1 IOT OD,1,35.72649573,12.85470085,C,,
,3192021,2 IOT OBJ,4,42.23859474,11.55228105,C,,
,3192021,3 DOT OD,3,15.47619048,16.9047619,C,,
,3192021,4 DOT OBJ,5,12.16610327,17.56677935,C,,
,3192021,5 IOT OD,1,62.50406504,7.499186992,TI,,
,3192021,6 IOT OBJ,6,26.05863499,14.788273,TI,,
,3192021,7 DOT OD,5,16.10562865,16.77887427,TI,,
,3192021,8 DOT OBJ,4,12.2344612,17.55310776,TI,,
,3192021,9 IOT OD,2,18.08215962,12.76713615,SW,,
,3192021,10 IOT OBJ,3,23.68288319,10.52684673,SW,,
,3192021,11 DOT OD,2,22.80024324,10.87990271,SW,,
,3192021,12 DOT OBJ,6,15.17696937,13.92921225,SW,,
