08092021_IOT_Rat7_8,,,,,,,
TESTING,Rat 7,IOT,knocked object…,,,,
,Min 1,Min 2,Min 3,Min 4,Min 5,,
1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,,,,,,,
6,,,,,,,
,,,,,,,
TESTING,Rat 8,IOT,,,,,
,Min 1,Min 2,Min 3,Min 4,Min 5,Total,
1,0.5,0,0,1.5,0.1,2.1,
2,0.2,0.1,0,0,0.6,0.9,
3,0.7,0,1.8,0,0,2.5,
4,0,0,0,0,0.6,0.6,
5,0.3,0.8,0,0.3,0,1.4,
6,1.5,0.2,0.1,0,0,1.8,
,,,,,,,
08102021_DOT_Rat7_8,,,,,,,
TESTING,Rat 8,DOT,,,,,
,Min 1,Min 2,Min 3,Min 4,Min 5,,
1,1.3,0.1,0.4,0.5,2.3,4.6,
2,1.8,0,0.5,0.2,1,3.5,
3,0.4,0.3,0,0,0,0.7,
4,0.1,0.1,0,0,4.4,4.6,
5,0.1,0.7,0,0,0.8,1.6,
6,1.3,0.1,0.1,0,0,1.5,
,,,,,,,
TESTING,Rat 7,DOT,,,,,
,Min 1,Min 2,Min 3,Min 4,Min 5,,
1,1.5,0,0,1.8,0,3.3,
2,0.1,0,0.2,1,0.5,1.8,
3,0,0,0,0,0,0,
4,0.2,0.3,0,0,0,0.5,
5,0.2,1.4,0.2,0,0,1.8,
6,0.2,0,0,0,2.6,2.8,
,,,,,,,
08122021_IOT_Rat11_12,,,,,,,OR
,,,,,,,
TESTING,Rat 11,IOT,,,,,
,Min 1,Min 2,Min 3,Min 4,Min 5,,
1,3.4,0.1,0.3,0,0,3.8,
2,1.9,0.3,1.2,0.2,0,3.6,
3,0,1.7,0.1,0.5,0,2.3,
4,1.7,2.5,0.1,0.6,0,4.9,
5,0.3,0.1,0,0.1,0,0.5,
6,0.4,0.3,0.2,0.6,0,1.5,
,,,,,,,
TESTING,Rat 12,IOT,,,,,
,Min 1,Min 2,Min 3,Min 4,Min 5,,
1,0,3.9,2.6,1.4,0.1,8,
2,0,0.2,1.7,0.2,0,2.1,
3,0.4,0.1,1,0.3,0,1.8,
4,0.3,0.1,0,0.3,0.3,1,
5,1.5,5,0,1.3,0.2,8,
6,1.5,0.1,0.2,0.5,0.3,2.6,
,,,,,,,
Video Name (testing),2022-06-12_NOD_DOT_17,,,,,,
POSITION,Minute 1,Minute 2,Minute 3,Minute 4,Minute 5,Total,
1,0.1,5,0.5,1,3.1,9.7,
2,1.2,4,0.3,2,0.8,8.3,
3,0.8,2.2,0.1,1.3,3.6,8,
4,1.5,0.9,2.7,0,2.6,7.7,
5,6.6,0,6,0.2,4.2,17,
6,6.3,5.5,0.4,1,5.4,18.6,
,,,,,,,
Video Name (testing),2022-06-23_NOB_IOT_4,,,,,,
POSITION,Minute 1,Minute 2,Minute 3,Minute 4,Minute 5,Total,
1,3.6,7,0.7,2.3,6.1,19.7,
2,7.1,1,0,0.8,0.1,9,
3,1.1,0.3,0,0,0,1.4,
4,1.1,0,0.5,0,0,1.6,
5,0.3,0,1.7,0.7,0,2.7,
6,1.5,2.1,0.2,0.2,0.3,4.3,
,,,,,,,
Video Name (testing),2022-06-26_NOB_DOT_6,,,,,,
POSITION,Minute 1,Minute 2,Minute 3,Minute 4,Minute 5,Total,
1,0.4,0,0.7,0.6,0,1.7,
2,0.3,0.7,0.2,0.2,0,1.4,
3,0.4,2.2,0,0,0.4,3,
4,1.9,0,0.4,0,0,2.3,
5,1.3,1.1,0.2,0,0.4,3,
6,2.7,0.7,0,0.2,0.3,3.9,
